01. (F1, dS0, nS0)x1 - 976562496 k2:100
02. (F1, dS0, nS1)x1 - 195312496 k2:101
03. (F1, dS0, nS2)x1 - 39062496 k2:102
04. (F1, dS0, nS3)x1 - 7812496 k2:103
05. (F1, dS0, nS4)x1 - 1562496 k2:104
06. (F1, dS0, nS5)x1 - 312496 k2:105
07. (F1, dS0, nS6)x1 - 62496 k2:106
08. (F1, dS0, nS7)x1 - 12496 k2:107
09. (F1, dS0, nS8)x1 - 2496 k2:108
10. (F1, dS0, nS9)x1 - 496 k2:109
11. (F1, dS1, nS0)x1 - 976562096 k2:110
12. (F1, dS1, nS1)x1 - 195312096 k2:111
13. (F1, dS1, nS2)x1 - 39062096 k2:112
14. (F1, dS1, nS3)x1 - 7812096 k2:113
15. (F1, dS1, nS4)x1 - 1562096 k2:114
16. (F1, dS1, nS5)x1 - 312096 k2:115
17. (F1, dS1, nS6)x1 - 62096 k2:116
18. (F1, dS1, nS7)x1 - 12096 k2:117
19. (F1, dS1, nS8)x1 - 2096 k2:118
20. (F1, dS1, nS9)x1 - 96 k2:119
21. (F1, dS2, nS0)x1 - 976562016 k2:120
22. (F1, dS2, nS1)x1 - 195312016 k2:121
23. (F1, dS2, nS2)x1 - 39062016 k2:122
24. (F1, dS2, nS3)x1 - 7812016 k2:123
25. (F1, dS2, nS4)x1 - 1562016 k2:124
26. (F1, dS2, nS5)x1 - 312016 k2:125
27. (F1, dS2, nS6)x1 - 62016 k2:126
28. (F1, dS2, nS7)x1 - 12016 k2:127
29. (F1, dS2, nS8)x1 - 2016 k2:128
30. (F1, dS2, nS9)x1 - 16 k2:129
31. (F1, dS3, nS0)x1 - 976562000 k2:130
32. (F1, dS3, nS1)x1 - 195312000 k2:131
33. (F1, dS3, nS2)x1 - 39062000 k2:132
34. (F1, dS3, nS3)x1 - 7812000 k2:133
35. (F1, dS3, nS4)x1 - 1562000 k2:134
36. (F1, dS3, nS5)x1 - 312000 k2:135
37. (F1, dS3, nS6)x1 - 62000 k2:136
38. (F1, dS3, nS7)x1 - 12000 k2:137
39. (F1, dS3, nS8)x1 - 2000 k2:138
40. (F1, dS3, nS9)x1 - 0 k2:139
41. (F2, dS0, nS0)x2 - 976562497 k2:200
42. (F2, dS0, nS1)x2 - 195312497 k2:201
43. (F2, dS0, nS2)x2 - 39062497 k2:202
44. (F2, dS0, nS3)x2 - 7812497 k2:203
45. (F2, dS0, nS4)x2 - 1562497 k2:204
46. (F2, dS0, nS5)x2 - 312497 k2:205
47. (F2, dS0, nS6)x2 - 62497 k2:206
48. (F2, dS1, nS0)x2 - 976512497 k2:210
49. (F2, dS1, nS1)x2 - 195262497 k2:211
50. (F2, dS1, nS2)x2 - 39012497 k2:212
51. (F2, dS1, nS3)x2 - 7762497 k2:213
52. (F2, dS1, nS4)x2 - 1512497 k2:214
53. (F2, dS1, nS5)x2 - 262497 k2:215
54. (F2, dS1, nS6)x2 - 12497 k2:216
55. (F2, dS2, nS0)x2 - 976502497 k2:220
56. (F2, dS2, nS1)x2 - 195252497 k2:221
57. (F2, dS2, nS2)x2 - 39002497 k2:222
58. (F2, dS2, nS3)x2 - 7752497 k2:223
