
s:	100,	 0,	 0,	 0,	 0.5,	 0x00FFFF
s:	101,	 -1,	 1,	 1,	 0.5,	 0xFFFFFF
s:	102,	 -2,	 2,	 0,	 0,	 0xFFFFFF
s:	103,	 0,	 2,	 2,	 0,	 0xFFFFFF
s:	104,	 -2,	 0,	 2,	 0,	 0xFFFFFF
s:	105,	 1,	 -1,	 1,	 0.5,	 0x00FF00
s:	106,	 2,	 -2,	 0,	 0.5,	 0x00FF00
s:	107,	 3,	 -3,	 1,	 0.5,	 0x00FF00
s:	108,	 1,	 -3,	 -1,	 0.5,	 0x00FF00
s:	109,	 3,	 -1,	 -1,	 0.5,	 0x00FF00
s:	110,	 2,	 0,	 2,	 0.5,	 0x00FF00
s:	111,	 1,	 1,	 3,	 0.5,	 0x00FF00
s:	112,	 3,	 -1,	 3,	 0.5,	 0x00FF00
s:	113,	 3,	 1,	 1,	 0.5,	 0x00FF00
s:	114,	 0,	 -2,	 2,	 0.5,	 0x00FF00
s:	115,	 -1,	 -1,	 3,	 0.5,	 0x00FF00
s:	116,	 1,	 -3,	 3,	 0.5,	 0x00FF00
s:	117,	 -1,	 -3,	 1,	 0.5,	 0x00FF00
s:	118,	 -1,	 -1,	 -1,	 0,	 0xFFFFFF
s:	119,	 0,	 -2,	 -2,	 0,	 0xFFFFFF
s:	120,	 -2,	 0,	 -2,	 0,	 0xFFFFFF
s:	121,	 -2,	 -2,	 0,	 0,	 0xFFFFFF
s:	122,	 1,	 1,	 -1,	 0,	 0xFFFFFF
s:	123,	 2,	 0,	 -2,	 0.5,	 0xFFFFFF
s:	124,	 3,	 -1,	 -1,	 0.5,	 0x00FF00
s:	125,	 1,	 -1,	 -3,	 0,	 0xFFFFFF
s:	126,	 3,	 1,	 -3,	 0,	 0xFFFFFF
s:	127,	 0,	 2,	 -2,	 0.5,	 0xFFFFFF
s:	128,	 -1,	 3,	 -1,	 0.5,	 0x00FF00
s:	129,	 -1,	 1,	 -3,	 0,	 0xFFFFFF
s:	130,	 1,	 3,	 -3,	 0,	 0xFFFFFF
s:	131,	 2,	 2,	 0,	 0.5,	 0xFFFFFF
s:	132,	 1,	 3,	 1,	 0.5,	 0x00FF00
s:	133,	 3,	 1,	 1,	 0,	 0xFFFFFF
s:	134,	 3,	 3,	 -1,	 0,	 0xFFFFFF
c:	1000,	 100,	 101,	 0.3,	 0x00FFFF
c:	1001,	 101,	 102,	 0.3,	 0xFFFFFF
c:	1002,	 101,	 103,	 0.3,	 0xFFFFFF
c:	1003,	 101,	 104,	 0.3,	 0xFFFFFF
c:	1004,	 100,	 105,	 0.3,	 0x00FF00
c:	1005,	 105,	 106,	 0.3,	 0x00FF00
c:	1006,	 106,	 107,	 0.3,	 0x00FF00
c:	1007,	 106,	 108,	 0.3,	 0x00FF00
c:	1008,	 106,	 109,	 0.3,	 0x00FF00
c:	1009,	 105,	 110,	 0.3,	 0x00FF00
c:	1010,	 110,	 111,	 0.3,	 0x00FF00
c:	1011,	 110,	 112,	 0.3,	 0x00FF00
c:	1012,	 110,	 113,	 0.3,	 0x00FF00
c:	1013,	 105,	 114,	 0.3,	 0x00FF00
c:	1014,	 114,	 115,	 0.3,	 0x00FF00
c:	1015,	 114,	 116,	 0.3,	 0x00FF00
c:	1016,	 114,	 117,	 0.3,	 0x00FF00
c:	1017,	 100,	 118,	 0.3,	 0xFFFFFF
c:	1018,	 100,	 122,	 0.3,	 0xFFFFFF
c:	1019,	 122,	 123,	 0.3,	 0xFFFFFF
c:	1020,	 123,	 124,	 0.3,	 0x00FF00
c:	1021,	 123,	 125,	 0.3,	 0xFFFFFF
c:	1022,	 123,	 126,	 0.3,	 0xFFFFFF
c:	1023,	 122,	 127,	 0.3,	 0xFFFFFF
c:	1024,	 127,	 128,	 0.3,	 0x00FF00
c:	1025,	 127,	 129,	 0.3,	 0xFFFFFF
c:	1026,	 127,	 130,	 0.3,	 0xFFFFFF
c:	1027,	 122,	 131,	 0.3,	 0xFFFFFF
c:	1028,	 131,	 132,	 0.3,	 0x00FF00
c:	1029,	 131,	 133,	 0.3,	 0xFFFFFF
c:	1030,	 131,	 134,	 0.3,	 0xFFFFFF
s: 0000011,	1,	1,	3,	0,	0x00FF00
s: 0000012,	1,	-1,	3,	0,	0x00FF00
s: 0000013,	1,	-1,	1,	0,	0x00FF00
s: 0000014,	1,	1,	1,	0,	0x00FF00
s: 0000015,	-1,	1,	3,	0,	0x00FF00
s: 0000016,	-1,	-1,	3,	0,	0x00FF00
s: 0000017,	-1,	-1,	1,	0,	0x00FF00
s: 0000018,	-1,	1,	1,	0,	0x00FF00

s: 0100011,	3,	1,	3,	0,	0x00FF00
s: 0100012,	3,	-1,	3,	0,	0x00FF00
